"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
C1002,서울특별시,관악구,특별시도,,청룡4길,3,,서울특별시 관악구 봉천동 920,37.48102565,126.9425545,관악초교 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C2001,서울특별시,관악구,특별시도,,중앙길,3,,서울특별시 관악구 봉천동 458-79,37.486033,126.949459,신봉초교 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C2002,서울특별시,관악구,특별시도,,난곡로35길,3,,서울특별시 관악구 신림동 808-176,37.47012172,126.9171994,삼성아트빌아파트 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C2005,서울특별시,관악구,특별시도,,난곡로,3,서울특별시 관악구 난곡로 42,,37.460571,126.920607,GS슈퍼마켓 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C2006,서울특별시,관악구,특별시도,,은천로,3,서울특별시 관악구 은천로 69,,37.4865852,126.9426791,은천초교 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C2009,서울특별시,관악구,특별시도,,양녕로6길,3,서울특별시 관악구 양녕로6길 12,,37.48456599,126.9474148,신봉초등학교,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C2010,서울특별시,관악구,특별시도,,신림로28길,3,서울특별시 관악구 신림로28길 81,,37.47202216,126.9378065,신성초등학교,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C3010,서울특별시,관악구,특별시도,,양녕로,3,서울특별시 관악구 양녕로 74,,37.48851649,126.946643,구암초교 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
C3015,서울특별시,관악구,특별시도,,행운1길,3,서울특별시 관악구 행운1길 72,,37.48185521,126.9564699,원당초등학교,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
CA001,서울특별시,관악구,특별시도,,청림5길,3,서울특별시 관악구 청림5길 22,,37.489052,126.9601116,은비유치원 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
CA002,서울특별시,관악구,특별시도,,남부순환로,3,서울특별시 관악구 남부순환로 1761,,37.482263,126.945973,남서울유치원 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
CA004,서울특별시,관악구,특별시도,,은천로25길,3,서울특별시 관악구 은천로25길 69,,37.489005,126.948332,새소슬유치원 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
CA005,서울특별시,관악구,특별시도,,구암길,3,,서울특별시 관악구 봉천동 1712-17,37.49006174,126.948062,소슬유치원 부근,4,0,,,,,서울특별시 관악구청,02-879-6962,2023-09-04
