"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
N101,서울특별시,금천구,특별시도,,가산로,3,서울특별시 금천구 가산로77,서울특별시 금천구 독산동 148-23,37.473103,126.895142,가산로77 기업은행,4,0,,,,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
N102,서울특별시,금천구,특별시도,,가산로,3,서울특별시 금천구 가산로122,서울특별시 금천구 가산동 152-28,37.47641568,126.8925195,가산로122 성지병원,4,0,,,,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
N103,서울특별시,금천구,특별시도,,가산로,3,서울특별시 금천구 가산로146,서울특별시 금천구 가산동 142-45,37.47827032,126.8909567,가산로 146 디지털단지오거리부근,4,0,,,,2016,서울특별시 금천구청,02-2627-1763,2023-08-23
N104,서울특별시,금천구,특별시도,,가산로,3,서울특별시 금천구 가산로20,서울특별시 금천구 독산동 163-29,37.47121958,126.9007906,가산로20 동신공업사맞은편,4,0,,,,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
N105,서울특별시,금천구,특별시도,,범안로,3,서울특별시 금천구 범안로1236,서울특별시 금천구 독산동 1081-14,37.466434,126.899108,범안로1236 말미사거리부근,4,0,,,2,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
N106,서울특별시,금천구,특별시도,,문성로,3,서울특별시 금천구 문성로48,서울특별시 금천구 독산동 894,37.4769568,126.9092452,문성로48 동아연립,4,0,,,2,2016,서울특별시 금천구청,02-2627-1763,2023-08-23
N107,서울특별시,금천구,특별시도,,가산디지털2로,3,서울특별시 금천구 가산디지털2로129,서울특별시 금천구 가산동 450-2,37.47941233,126.8793439,가산디지털2로129 태림모피,4,0,,,,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
N108,서울특별시,금천구,특별시도,,독산로,3,서울특별시 금천구 독산로139,서울특별시 금천구 시흥동 1000-16,37.459667,126.904914,독산로139 현대시장입구,4,0,,,,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
N109,서울특별시,금천구,특별시도,,독산로,3,서울특별시 금천구 독산로199,서울특별시 금천구 독산동 1081-18,37.46469561,126.9027124,독산로199 KFC,4,0,,,,2016,서울특별시 금천구청,02-2627-1763,2023-08-23
N110,서울특별시,금천구,특별시도,,독산로,3,서울특별시 금천구 독산로291,서울특별시 금천구 독산동 995-9,37.472855,126.903202,독산로291 천지랜드(남문시장),4,0,,,,2015,서울특별시 금천구청,02-2627-1763,2023-08-23
