"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"주정차단속-001",서울특별시,마포구,구도,,만리재옛길,3,"서울특별시 마포구 만리재옛길 13, (공덕동)",서울특별시 마포구 공덕동 256-4,37.54580446,126.9548217,공덕초등학교주변,4,0,,,,2016,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-002",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 173, (공덕동)",서울특별시 마포구 공덕동 463,37.549901,126.954459,마포경찰서 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-003",서울특별시,마포구,구도,,굴레방로,3,"서울특별시 마포구 굴레방로 11, (아현동)",서울특별시 마포구 아현동 282-1,37.55502258,126.9558928,아현초등학교 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-004",서울특별시,마포구,구도,,신촌로34길,3,"서울특별시 마포구 신촌로34길 41, (아현동)",서울특별시 마포구 아현동 326-16,37.55550248,126.9551392,행화정교회 주변,4,0,,,,2016,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-005",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 197, (아현동)",서울특별시 마포구 아현동 784,37.55195202,126.9540796,공덕지구대 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-006",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 201, (아현동, 마포트라팰리스2차아파트)",서울특별시 마포구 아현동 738,37.55219655,126.9554959,마포트라팰리스2차 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-007",서울특별시,마포구,구도,,삼개로,3,"서울특별시 마포구 삼개로 19, (도화동)",서울특별시 마포구 도화동 204-10,37.53864029,126.9476119,근신빌딩 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-008",서울특별시,마포구,구도,,도화4길,3,"서울특별시 마포구 도화4길 35, (도화동)",서울특별시 마포구 도화동 200-10,37.54046061,126.9516939,도화동 동원베네스트 주변,4,0,,,,2017,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-009",서울특별시,마포구,구도,,삼개로,3,"서울특별시 마포구 삼개로 29, (도화동)",서울특별시 마포구 도화동 149-2,37.53774786,126.9475678,우성아파트 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-010",서울특별시,마포구,구도,,마포대로4나길,3,"서울특별시 마포구 마포대로4나길 28, (마포동)",서울특별시 마포구 마포동 230-2,37.53799959,126.9454823,진선미 어린이집 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
